Description,category,group,subcategory,size.group,size.overlap.category,size.category,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
GOBP_OTIC_VESICLE_DEVELOPMENT,C5,AntiIL5,GO:BP,36,31,17949,1,13,0.07692307692307693,0.14304968208564553,0.10457891182793616,8820,HESX1,ENSG00000163666
GOBP_POSITIVE_REGULATION_OF_ACROSOME_REACTION,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,7784,ZP3,ENSG00000188372
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,C5,AntiIL5,GO:BP,36,31,17949,2,104,0.019230769230769232,0.14304968208564553,0.10457891182793616,91543/7784,RSAD2/ZP3,ENSG00000134321/ENSG00000188372
GOBP_POSITIVE_REGULATION_OF_CHROMATIN_BINDING,C5,AntiIL5,GO:BP,36,31,17949,1,14,0.07142857142857142,0.14304968208564553,0.10457891182793616,83666,PARP9,ENSG00000138496
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING,C5,AntiIL5,GO:BP,36,31,17949,1,16,0.0625,0.14304968208564553,0.10457891182793616,83666,PARP9,ENSG00000138496
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,7784,ZP3,ENSG00000188372
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,C5,AntiIL5,GO:BP,36,31,17949,2,125,0.016,0.14304968208564553,0.10457891182793616,91543/7784,RSAD2/ZP3,ENSG00000134321/ENSG00000188372
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,C5,AntiIL5,GO:BP,36,31,17949,2,133,0.015037593984962405,0.14304968208564553,0.10457891182793616,3627/7784,CXCL10/ZP3,ENSG00000169245/ENSG00000188372
GOBP_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION,C5,AntiIL5,GO:BP,36,31,17949,1,15,0.06666666666666667,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_POSITIVE_REGULATION_OF_TRANSPORTER_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,2,112,0.017857142857142856,0.14304968208564553,0.10457891182793616,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_POSITIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE,C5,AntiIL5,GO:BP,36,31,17949,1,16,0.0625,0.14304968208564553,0.10457891182793616,91543,RSAD2,ENSG00000134321
GOBP_POSITIVE_REGULATION_OF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,15,0.06666666666666667,0.14304968208564553,0.10457891182793616,9722,NOS1AP,ENSG00000198929
GOBP_POSTSYNAPTIC_ACTIN_CYTOSKELETON_ORGANIZATION,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,9722,NOS1AP,ENSG00000198929
GOBP_POSTSYNAPTIC_CYTOSKELETON_ORGANIZATION,C5,AntiIL5,GO:BP,36,31,17949,1,13,0.07692307692307693,0.14304968208564553,0.10457891182793616,9722,NOS1AP,ENSG00000198929
GOBP_PROTEIN_MONO_ADP_RIBOSYLATION,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,83666,PARP9,ENSG00000138496
GOBP_PROTEIN_NITROSYLATION,C5,AntiIL5,GO:BP,36,31,17949,1,16,0.0625,0.14304968208564553,0.10457891182793616,9722,NOS1AP,ENSG00000198929
GOBP_PURINE_CONTAINING_COMPOUND_SALVAGE,C5,AntiIL5,GO:BP,36,31,17949,1,15,0.06666666666666667,0.14304968208564553,0.10457891182793616,2766,GMPR,ENSG00000137198
GOBP_PYRIMIDINE_RIBONUCLEOSIDE_METABOLIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,14,0.07142857142857142,0.14304968208564553,0.10457891182793616,200315/200315,APOBEC3A/APOBEC3A,ENSG00000128383/ENSG00000262156
GOBP_RECEPTOR_INTERNALIZATION,C5,AntiIL5,GO:BP,36,31,17949,2,111,0.018018018018018018,0.14304968208564553,0.10457891182793616,4600/3579,MX2/CXCR2,ENSG00000183486/ENSG00000180871
GOBP_REGULATION_OF_ACROSOME_REACTION,C5,AntiIL5,GO:BP,36,31,17949,1,15,0.06666666666666667,0.14304968208564553,0.10457891182793616,7784,ZP3,ENSG00000188372
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,C5,AntiIL5,GO:BP,36,31,17949,1,14,0.07142857142857142,0.14304968208564553,0.10457891182793616,7784,ZP3,ENSG00000188372
GOBP_REGULATION_OF_ATPASE_COUPLED_CALCIUM_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,10,0.1,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_REGULATION_OF_BLOOD_CIRCULATION,C5,AntiIL5,GO:BP,36,31,17949,3,290,0.010344827586206896,0.14304968208564553,0.10457891182793616,9722/553/6262,NOS1AP/AVPR1B/RYR2,ENSG00000198929/ENSG00000198049/ENSG00000198626
GOBP_REGULATION_OF_HEART_RATE,C5,AntiIL5,GO:BP,36,31,17949,2,97,0.020618556701030927,0.14304968208564553,0.10457891182793616,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_REGULATION_OF_HELICASE_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,3434,IFIT1,ENSG00000185745
GOBP_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,14,0.07142857142857142,0.14304968208564553,0.10457891182793616,9722,NOS1AP,ENSG00000198929
GOBP_REGULATION_OF_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,15,0.06666666666666667,0.14304968208564553,0.10457891182793616,553,AVPR1B,ENSG00000198049
GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL,C5,AntiIL5,GO:BP,36,31,17949,1,10,0.1,0.14304968208564553,0.10457891182793616,9722,NOS1AP,ENSG00000198929
GOBP_REGULATION_OF_PEPTIDYL_CYSTEINE_S_NITROSYLATION,C5,AntiIL5,GO:BP,36,31,17949,1,10,0.1,0.14304968208564553,0.10457891182793616,9722,NOS1AP,ENSG00000198929
GOBP_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,553,AVPR1B,ENSG00000198049
GOBP_REGULATION_OF_POSTSYNAPTIC_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,8326,FZD9,ENSG00000188763
GOBP_REGULATION_OF_RECEPTOR_CLUSTERING,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,8326,FZD9,ENSG00000188763
GOBP_REGULATION_OF_RNA_BINDING,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,55323,LARP6,ENSG00000166173
GOBP_REGULATION_OF_T_CELL_CHEMOTAXIS,C5,AntiIL5,GO:BP,36,31,17949,1,16,0.0625,0.14304968208564553,0.10457891182793616,3627,CXCL10,ENSG00000169245
GOBP_REGULATION_OF_T_HELPER_2_CELL_CYTOKINE_PRODUCTION,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,91543,RSAD2,ENSG00000134321
GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,91543,RSAD2,ENSG00000134321
GOBP_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_RESPONSE_TO_EPINEPHRINE,C5,AntiIL5,GO:BP,36,31,17949,1,15,0.06666666666666667,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_RESPONSE_TO_REDOX_STATE,C5,AntiIL5,GO:BP,36,31,17949,1,14,0.07142857142857142,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_SA_NODE_CELL_TO_ATRIAL_CARDIAC_MUSCLE_CELL_COMMUNICATION,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING,C5,AntiIL5,GO:BP,36,31,17949,3,306,0.00980392156862745,0.14304968208564553,0.10457891182793616,3579/9722/6262,CXCR2/NOS1AP/RYR2,ENSG00000180871/ENSG00000198929/ENSG00000198626
GOBP_SKELETAL_MUSCLE_ACETYLCHOLINE_GATED_CHANNEL_CLUSTERING,C5,AntiIL5,GO:BP,36,31,17949,1,10,0.1,0.14304968208564553,0.10457891182793616,8326,FZD9,ENSG00000188763
GOBP_SYNAPTIC_VESICLE_BUDDING,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,4600,MX2,ENSG00000183486
GOBP_T_CELL_MEDIATED_IMMUNITY,C5,AntiIL5,GO:BP,36,31,17949,2,102,0.0196078431372549,0.14304968208564553,0.10457891182793616,91543/7784,RSAD2/ZP3,ENSG00000134321/ENSG00000188372
GOBP_T_HELPER_2_CELL_CYTOKINE_PRODUCTION,C5,AntiIL5,GO:BP,36,31,17949,1,13,0.07692307692307693,0.14304968208564553,0.10457891182793616,91543,RSAD2,ENSG00000134321
GOBP_TOLL_LIKE_RECEPTOR_7_SIGNALING_PATHWAY,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,91543,RSAD2,ENSG00000134321
GOBP_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY,C5,AntiIL5,GO:BP,36,31,17949,1,12,0.08333333333333333,0.14304968208564553,0.10457891182793616,8794,TNFRSF10C,ENSG00000173535
GOBP_TYPE_B_PANCREATIC_CELL_APOPTOTIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,10,0.1,0.14304968208564553,0.10457891182793616,6262,RYR2,ENSG00000198626
GOBP_UDP_N_ACETYLGLUCOSAMINE_BIOSYNTHETIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,11,0.09090909090909091,0.14304968208564553,0.10457891182793616,2673,GFPT1,ENSG00000198380
GOBP_UDP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,16,0.0625,0.14304968208564553,0.10457891182793616,2673,GFPT1,ENSG00000198380
GOBP_VIRAL_LIFE_CYCLE,C5,AntiIL5,GO:BP,36,31,17949,3,348,0.008620689655172414,0.14304968208564553,0.10457891182793616,91543/3434/200315/200315,RSAD2/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000185745/ENSG00000128383/ENSG00000262156
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,C5,AntiIL5,GO:BP,36,31,17949,2,150,0.013333333333333334,0.14339592898853307,0.10483204153643906,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT_VIA_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL,C5,AntiIL5,GO:BP,36,31,17949,1,17,0.058823529411764705,0.14799458335207352,0.10819396630411465,9722,NOS1AP,ENSG00000198929
GOBP_MYELIN_MAINTENANCE,C5,AntiIL5,GO:BP,36,31,17949,1,17,0.058823529411764705,0.14799458335207352,0.10819396630411465,23136,EPB41L3,ENSG00000082397
GOBP_RESPONSE_TO_CAFFEINE,C5,AntiIL5,GO:BP,36,31,17949,1,17,0.058823529411764705,0.14799458335207352,0.10819396630411465,6262,RYR2,ENSG00000198626
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING,C5,AntiIL5,GO:BP,36,31,17949,1,19,0.05263157894736842,0.14899701942029206,0.10892681430253663,6262,RYR2,ENSG00000198626
GOBP_AUDITORY_RECEPTOR_CELL_DEVELOPMENT,C5,AntiIL5,GO:BP,36,31,17949,1,19,0.05263157894736842,0.14899701942029206,0.10892681430253663,79955,PDZD7,ENSG00000186862
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION,C5,AntiIL5,GO:BP,36,31,17949,1,18,0.05555555555555555,0.14899701942029206,0.10892681430253663,91543,RSAD2,ENSG00000134321
GOBP_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA,C5,AntiIL5,GO:BP,36,31,17949,1,18,0.05555555555555555,0.14899701942029206,0.10892681430253663,3434,IFIT1,ENSG00000185745
GOBP_MORPHOGENESIS_OF_AN_ENDOTHELIUM,C5,AntiIL5,GO:BP,36,31,17949,1,19,0.05263157894736842,0.14899701942029206,0.10892681430253663,3627,CXCL10,ENSG00000169245
GOBP_MYELIN_ASSEMBLY,C5,AntiIL5,GO:BP,36,31,17949,1,19,0.05263157894736842,0.14899701942029206,0.10892681430253663,23136,EPB41L3,ENSG00000082397
GOBP_NEGATIVE_REGULATION_OF_ATPASE_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,18,0.05555555555555555,0.14899701942029206,0.10892681430253663,3434,IFIT1,ENSG00000185745
GOBP_NEGATIVE_REGULATION_OF_BINDING,C5,AntiIL5,GO:BP,36,31,17949,2,159,0.012578616352201259,0.14899701942029206,0.10892681430253663,3433/3434,IFIT2/IFIT1,ENSG00000119922/ENSG00000185745
GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,C5,AntiIL5,GO:BP,36,31,17949,1,18,0.05555555555555555,0.14899701942029206,0.10892681430253663,8370,H4C14,ENSG00000270882
GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH,C5,AntiIL5,GO:BP,36,31,17949,1,19,0.05263157894736842,0.14899701942029206,0.10892681430253663,8326,FZD9,ENSG00000188763
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,C5,AntiIL5,GO:BP,36,31,17949,1,19,0.05263157894736842,0.14899701942029206,0.10892681430253663,7784,ZP3,ENSG00000188372
GOBP_POSTSYNAPSE_ORGANIZATION,C5,AntiIL5,GO:BP,36,31,17949,2,161,0.012422360248447204,0.14899701942029206,0.10892681430253663,8326/9722,FZD9/NOS1AP,ENSG00000188763/ENSG00000198929
GOBP_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION,C5,AntiIL5,GO:BP,36,31,17949,1,18,0.05555555555555555,0.14899701942029206,0.10892681430253663,4600,MX2,ENSG00000183486
GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,19,0.05263157894736842,0.14899701942029206,0.10892681430253663,2766,GMPR,ENSG00000137198
GOBP_REGULATION_OF_ICOSANOID_SECRETION,C5,AntiIL5,GO:BP,36,31,17949,1,19,0.05263157894736842,0.14899701942029206,0.10892681430253663,553,AVPR1B,ENSG00000198049
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,C5,AntiIL5,GO:BP,36,31,17949,2,157,0.012738853503184714,0.14899701942029206,0.10892681430253663,91543/7784,RSAD2/ZP3,ENSG00000134321/ENSG00000188372
GOBP_REGULATION_OF_MYOBLAST_FUSION,C5,AntiIL5,GO:BP,36,31,17949,1,18,0.05555555555555555,0.14899701942029206,0.10892681430253663,3627,CXCL10,ENSG00000169245
GOBP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING,C5,AntiIL5,GO:BP,36,31,17949,1,20,0.05,0.15064791291026022,0.11013372816775815,200315/200315,APOBEC3A/APOBEC3A,ENSG00000128383/ENSG00000262156
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT,C5,AntiIL5,GO:BP,36,31,17949,3,412,0.007281553398058253,0.15064791291026022,0.11013372816775815,8820/6262/79955,HESX1/RYR2/PDZD7,ENSG00000163666/ENSG00000198626/ENSG00000186862
GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS,C5,AntiIL5,GO:BP,36,31,17949,1,20,0.05,0.15064791291026022,0.11013372816775815,3627,CXCL10,ENSG00000169245
GOBP_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION,C5,AntiIL5,GO:BP,36,31,17949,1,20,0.05,0.15064791291026022,0.11013372816775815,91543,RSAD2,ENSG00000134321
GOBP_RECEPTOR_METABOLIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,2,168,0.011904761904761904,0.15064791291026022,0.11013372816775815,4600/3579,MX2/CXCR2,ENSG00000183486/ENSG00000180871
GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS,C5,AntiIL5,GO:BP,36,31,17949,2,167,0.011976047904191617,0.15064791291026022,0.11013372816775815,53405/79955,CLIC5/PDZD7,ENSG00000112782/ENSG00000186862
GOBP_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE,C5,AntiIL5,GO:BP,36,31,17949,1,20,0.05,0.15064791291026022,0.11013372816775815,200315/200315,APOBEC3A/APOBEC3A,ENSG00000128383/ENSG00000262156
GOBP_POSITIVE_REGULATION_OF_BINDING,C5,AntiIL5,GO:BP,36,31,17949,2,170,0.011764705882352941,0.1518608995074039,0.11102050272427348,83666/55323,PARP9/LARP6,ENSG00000138496/ENSG00000166173
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,C5,AntiIL5,GO:BP,36,31,17949,2,170,0.011764705882352941,0.1518608995074039,0.11102050272427348,91543/7784,RSAD2/ZP3,ENSG00000134321/ENSG00000188372
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,C5,AntiIL5,GO:BP,36,31,17949,1,23,0.043478260869565216,0.1533293543461297,0.11209404169942808,7784,ZP3,ENSG00000188372
GOBP_CALCIUM_MEDIATED_SIGNALING_USING_INTRACELLULAR_CALCIUM_SOURCE,C5,AntiIL5,GO:BP,36,31,17949,1,22,0.045454545454545456,0.1533293543461297,0.11209404169942808,6262,RYR2,ENSG00000198626
GOBP_CELLULAR_RESPONSE_TO_DSRNA,C5,AntiIL5,GO:BP,36,31,17949,1,22,0.045454545454545456,0.1533293543461297,0.11209404169942808,3434,IFIT1,ENSG00000185745
GOBP_GLUTAMINE_METABOLIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,23,0.043478260869565216,0.1533293543461297,0.11209404169942808,2673,GFPT1,ENSG00000198380
GOBP_MITOCHONDRIAL_DEPOLARIZATION,C5,AntiIL5,GO:BP,36,31,17949,1,22,0.045454545454545456,0.1533293543461297,0.11209404169942808,8326,FZD9,ENSG00000188763
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_ARREST,C5,AntiIL5,GO:BP,36,31,17949,1,23,0.043478260869565216,0.1533293543461297,0.11209404169942808,8326,FZD9,ENSG00000188763
GOBP_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH,C5,AntiIL5,GO:BP,36,31,17949,1,23,0.043478260869565216,0.1533293543461297,0.11209404169942808,8326,FZD9,ENSG00000188763
GOBP_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,23,0.043478260869565216,0.1533293543461297,0.11209404169942808,2673,GFPT1,ENSG00000198380
GOBP_POSITIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,23,0.043478260869565216,0.1533293543461297,0.11209404169942808,553,AVPR1B,ENSG00000198049
GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,C5,AntiIL5,GO:BP,36,31,17949,1,22,0.045454545454545456,0.1533293543461297,0.11209404169942808,7784,ZP3,ENSG00000188372
GOBP_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,23,0.043478260869565216,0.1533293543461297,0.11209404169942808,200315/200315,APOBEC3A/APOBEC3A,ENSG00000128383/ENSG00000262156
GOBP_REGULATION_OF_CAMP_DEPENDENT_PROTEIN_KINASE_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,21,0.047619047619047616,0.1533293543461297,0.11209404169942808,3627,CXCL10,ENSG00000169245
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_REGULATION_OF_THE_RELEASE_OF_SEQUESTERED_CALCIUM_ION,C5,AntiIL5,GO:BP,36,31,17949,1,22,0.045454545454545456,0.1533293543461297,0.11209404169942808,6262,RYR2,ENSG00000198626
GOBP_REGULATION_OF_CHROMATIN_BINDING,C5,AntiIL5,GO:BP,36,31,17949,1,23,0.043478260869565216,0.1533293543461297,0.11209404169942808,83666,PARP9,ENSG00000138496
GOBP_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,21,0.047619047619047616,0.1533293543461297,0.11209404169942808,9722,NOS1AP,ENSG00000198929
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,C5,AntiIL5,GO:BP,36,31,17949,3,431,0.0069605568445475635,0.1533293543461297,0.11209404169942808,8326/9722/6262,FZD9/NOS1AP/RYR2,ENSG00000188763/ENSG00000198929/ENSG00000198626
GOBP_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,C5,AntiIL5,GO:BP,36,31,17949,1,22,0.045454545454545456,0.1533293543461297,0.11209404169942808,9722,NOS1AP,ENSG00000198929
GOBP_RESPONSE_TO_AUDITORY_STIMULUS,C5,AntiIL5,GO:BP,36,31,17949,1,23,0.043478260869565216,0.1533293543461297,0.11209404169942808,3627,CXCL10,ENSG00000169245
GOBP_RESPONSE_TO_MUSCLE_STRETCH,C5,AntiIL5,GO:BP,36,31,17949,1,22,0.045454545454545456,0.1533293543461297,0.11209404169942808,6262,RYR2,ENSG00000198626
GOBP_STRIATED_MUSCLE_CONTRACTION,C5,AntiIL5,GO:BP,36,31,17949,2,176,0.011363636363636364,0.1533293543461297,0.11209404169942808,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_THYROID_GLAND_DEVELOPMENT,C5,AntiIL5,GO:BP,36,31,17949,1,22,0.045454545454545456,0.1533293543461297,0.11209404169942808,8820,HESX1,ENSG00000163666
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION,C5,AntiIL5,GO:BP,36,31,17949,1,24,0.041666666666666664,0.15383028403691448,0.1124602549003299,6262,RYR2,ENSG00000198626
GOBP_DENDRITIC_CELL_CHEMOTAXIS,C5,AntiIL5,GO:BP,36,31,17949,1,24,0.041666666666666664,0.15383028403691448,0.1124602549003299,3579,CXCR2,ENSG00000180871
GOBP_NEGATIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION,C5,AntiIL5,GO:BP,36,31,17949,1,24,0.041666666666666664,0.15383028403691448,0.1124602549003299,3627,CXCL10,ENSG00000169245
GOBP_NUCLEOSOME_ORGANIZATION,C5,AntiIL5,GO:BP,36,31,17949,2,183,0.01092896174863388,0.15383028403691448,0.1124602549003299,8349/8370,H2BC21/H4C14,ENSG00000184678/ENSG00000270882
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION,C5,AntiIL5,GO:BP,36,31,17949,1,24,0.041666666666666664,0.15383028403691448,0.1124602549003299,7784,ZP3,ENSG00000188372
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,24,0.041666666666666664,0.15383028403691448,0.1124602549003299,9722,NOS1AP,ENSG00000198929
GOBP_RESPONSE_TO_MUSCLE_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,24,0.041666666666666664,0.15383028403691448,0.1124602549003299,6262,RYR2,ENSG00000198626
GOBP_RIBONUCLEOSIDE_CATABOLIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,24,0.041666666666666664,0.15383028403691448,0.1124602549003299,200315/200315,APOBEC3A/APOBEC3A,ENSG00000128383/ENSG00000262156
GOBP_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION,C5,AntiIL5,GO:BP,36,31,17949,1,25,0.04,0.1578726579720367,0.11541550136556561,4600,MX2,ENSG00000183486
GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,C5,AntiIL5,GO:BP,36,31,17949,1,25,0.04,0.1578726579720367,0.11541550136556561,9722,NOS1AP,ENSG00000198929
GOBP_REGULATION_OF_RESPONSE_TO_INTERFERON_GAMMA,C5,AntiIL5,GO:BP,36,31,17949,1,25,0.04,0.1578726579720367,0.11541550136556561,83666,PARP9,ENSG00000138496
GOBP_CALCIUM_MEDIATED_SIGNALING,C5,AntiIL5,GO:BP,36,31,17949,2,198,0.010101010101010102,0.15788138172928656,0.11542187901721043,3579/6262,CXCR2/RYR2,ENSG00000180871/ENSG00000198626
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA,C5,AntiIL5,GO:BP,36,31,17949,1,27,0.037037037037037035,0.15788138172928656,0.11542187901721043,8349,H2BC21,ENSG00000184678
GOBP_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,1,27,0.037037037037037035,0.15788138172928656,0.11542187901721043,553,AVPR1B,ENSG00000198049
GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION,C5,AntiIL5,GO:BP,36,31,17949,1,27,0.037037037037037035,0.15788138172928656,0.11542187901721043,9722,NOS1AP,ENSG00000198929
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,C5,AntiIL5,GO:BP,36,31,17949,1,27,0.037037037037037035,0.15788138172928656,0.11542187901721043,7784,ZP3,ENSG00000188372
GOBP_POSITIVE_REGULATION_OF_HEART_RATE,C5,AntiIL5,GO:BP,36,31,17949,1,26,0.038461538461538464,0.15788138172928656,0.11542187901721043,6262,RYR2,ENSG00000198626
GOBP_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,C5,AntiIL5,GO:BP,36,31,17949,1,27,0.037037037037037035,0.15788138172928656,0.11542187901721043,91543,RSAD2,ENSG00000134321
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,C5,AntiIL5,GO:BP,36,31,17949,1,27,0.037037037037037035,0.15788138172928656,0.11542187901721043,9722,NOS1AP,ENSG00000198929
